"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","All","All","8.3","%","2.7","17400","209500","1018"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","All","All","91.7","%","2.7","192000","209500","1018"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","All","Men","7.2","%","3.6","7800","108800","495"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","All","Men","92.8","%","3.6","100900","108800","495"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","All","Women","9.6","%","4","9600","100700","523"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","All","Women","90.4","%","4","91100","100700","523"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East of England","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East of England","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","London","All","7.2","%","4.4","6600","92100","333"
