"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Mixed White And Black African","ONS 2011 18+1","England","80.1","%","1686.8","1351.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Mixed White And Black African","ONS 2011 18+1","England","80.8","%","1215","982.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Mixed White And Black African","ONS 2011 18+1","England","80.9","%","1521.7","1231.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Mixed White And Black African","ONS 2011 18+1","England","81.8","%","1359.9","1112.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White And Black African","ONS 2011 18+1","England","85.6","%","1442.5","1234.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Mixed White And Black African","ONS 2011 18+1","England","79.8","%","1228.1","980.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Mixed White And Black African","ONS 2011 18+1","England","81.8","%","1221.1","998.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Mixed White And Black African","ONS 2011 18+1","England","86.2","%","1285.1","1107.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Mixed White And Black African","ONS 2011 18+1","England","83.9","%","1283.3","1076.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Mixed White And Black African","ONS 2011 18+1","England","82.4","%","1435.5","1182.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Mixed White And Black Caribbean","ONS 2011 18+1","England","79.9","%","3537.3","2827.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Mixed White And Black Caribbean","ONS 2011 18+1","England","76.4","%","2894.4","2210.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Mixed White And Black Caribbean","ONS 2011 18+1","England","78.8","%","2873.7","2263.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Mixed White And Black Caribbean","ONS 2011 18+1","England","80.8","%","2765.2","2233.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White And Black Caribbean","ONS 2011 18+1","England","80.2","%","2630.5","2109.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Mixed White And Black Caribbean","ONS 2011 18+1","England","81.3","%","2452.3","1992.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Mixed White And Black Caribbean","ONS 2011 18+1","England","78.2","%","2510.6","1963.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Mixed White And Black Caribbean","ONS 2011 18+1","England","80.8","%","2643.4","2134.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Mixed White And Black Caribbean","ONS 2011 18+1","England","81.1","%","2673.1","2168.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Mixed White And Black Caribbean","ONS 2011 18+1","England","84.5","%","2723.3","2300.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","75.7","%","4551.7","3446.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","77.1","%","3728.8","2875.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","78.1","%","3735.6","2916.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","78","%","3356.1","2618.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","79.9","%","2804.6","2241.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","79.2","%","2485.3","1967.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","80.4","%","2576.1","2072.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","80.9","%","2258.7","1828.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","80.3","%","2505.8","2011.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","England","84.4","%","2687.8","2268.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Gypsy Or Irish Traveller","ONS 2011 18+1","England","82.3","%","299.6","246.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Gypsy Or Irish Traveller","ONS 2011 18+1","England","76.3","%","310.5","237","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Gypsy Or Irish Traveller","ONS 2011 18+1","England","73","%","318.7","232.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Gypsy Or Irish Traveller","ONS 2011 18+1","England","72.9","%","295.8","215.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Gypsy Or Irish Traveller","ONS 2011 18+1","England","75.6","%","294.3","222.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Gypsy Or Irish Traveller","ONS 2011 18+1","England","72.2","%","289.6","209","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Gypsy Or Irish Traveller","ONS 2011 18+1","England","71.6","%","260.4","186.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Gypsy Or Irish Traveller","ONS 2011 18+1","England","81","%","302.9","245.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Gypsy Or Irish Traveller","ONS 2011 18+1","England","76.5","%","301.6","230.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Gypsy Or Irish Traveller","ONS 2011 18+1","England","81.7","%","381","311.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Roma","ONS 2011 18+1","England","77.6","%","716.7","556.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","84.7","%","610385.1","516993.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","83.5","%","522038.3","435684.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","84.5","%","567968","480151.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","85.5","%","562484.3","480825.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","86.2","%","612548","527962","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","86.6","%","638074.5","552266.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","86.1","%","665063.1","572802.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","86.8","%","704349.2","611549.2","NA","NA","No figures to report for upper and lower bounds"
