"Measure ","Time","Time_type","Ethnicity","Ethnicity_type","Number","Percentage"
"Used the internet in the last 3 months","2018","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","784","95.4"
"Used the internet in the last 3 months","2019","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","42,296","90.5"
"Used the internet in the last 3 months","2019","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","547","96"
"Used the internet in the last 3 months","2019","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,077","90.4"
"Used the internet in the last 3 months","2019","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","767","91.1"
"Used the internet in the last 3 months","2019","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","354","91.9"
"Used the internet in the last 3 months","2019","Year"," Chinese ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","265","98.6"
"Used the internet in the last 3 months","2019","Year"," Other Asian background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","620","95.6"
"Used the internet in the last 3 months","2019","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,376","92.8"
"Used the internet in the last 3 months","2019","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","796","94.5"
"Used the internet in the last 3 months","2020","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","43,090","91.6"
"Used the internet in the last 3 months","2020","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","601","99.2"
"Used the internet in the last 3 months","2020","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,187","96.3"
"Used the internet in the last 3 months","2020","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","751","91.7"
"Used the internet in the last 3 months","2020","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","357","87.8"
"Used the internet in the last 3 months","2020","Year"," Chinese ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","269","97.6"
"Used the internet in the last 3 months","2020","Year"," Other Asian background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","581","96.8"
"Used the internet in the last 3 months","2020","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,386","95.4"
"Used the internet in the last 3 months","2020","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","787","97.6"
