"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North West","Region","16+","89.6","86","93.2","269","258","280",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","88.3","84.3","92.3","224","214","234",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.3","83.7","92.9","188","178","198",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","87.2","83.9","90.4","409","394","424",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","94.9","91.7","98.1","192","186","199",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","London","Region","16+","92","90.3","93.7","1,186","1,164","1,208",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South East","Region","16+","94.6","92","97","278","270","285",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","92.6","86.9","98.2","97","91","103",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16+","92.1","90.6","93.6","1,394","1,371","1,417",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North West","Region","16+","88.4","82","94.8","96","89","103",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","91","83.8","98.2","68","63","74",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","88.8","83.5","94.1","140","132","148",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East of England","Region","16+","95.7","91.5","?","96","92"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","London","Region","16+","92.8","90.6","94.9","744","727","761",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
