"Ethnicity","Local Authority","Number","%"
"Chinese","Blackburn with Darwen","0","0.00"
"Chinese","Blackpool","0","0.00"
"Chinese","Bolton","3","1.96"
"Chinese","Bournemouth","0","0.00"
"Chinese","Bracknell Forest","1","1.25"
"Chinese","Bradford","0","0.00"
"Chinese","Brent","1","1.01"
"Chinese","Brighton and Hove","0","0.00"
"Chinese","Bristol City of","1","0.39"
"Chinese","Bromley","1","0.16"
"Chinese","Buckinghamshire","0","0.00"
"Chinese","Bury","2","1.59"
"Chinese","Calderdale","0","0.00"
"Chinese","Cambridgeshire","0","0.00"
"Chinese","Camden","0","0.00"
"Chinese","Central Bedfordshire","2","1.49"
"Chinese","Cheshire East","0","0.00"
"Chinese","Cheshire West and Chester","0","0.00"
"Chinese","City of London","0","0.00"
"Chinese","Cornwall","0","0.00"
"Chinese","Coventry","1","0.43"
"Chinese","Croydon","3","0.96"
"Chinese","Cumbria","0","0.00"
"Chinese","Darlington","0","0.00"
"Chinese","Derby","0","0.00"
"Chinese","Derbyshire","1","0.33"
"Chinese","Devon","2","0.93"
"Chinese","Doncaster","4","1.97"
"Chinese","Dorset","2","1.43"
"Chinese","Dudley","1","0.82"
"Chinese","Durham","1","0.50"
"Chinese","Ealing","2","0.95"
"Chinese","East Riding of Yorkshire","0","0.00"
"Chinese","East Sussex","0","0.00"
"Chinese","Enfield","4","1.40"
"Chinese","Essex","3","0.36"
"Chinese","Gateshead","0","0.00"
"Chinese","Gloucestershire","1","0.43"
"Chinese","Greenwich","2","0.34"
"Chinese","Hackney","1","0.38"
"Chinese","Halton","0","0.00"
"Chinese","Hammersmith and Fulham","1","1.19"
"Chinese","Hampshire","4","0.68"
"Chinese","Haringey","1","0.27"
"Chinese","Harrow","0","0.00"
"Chinese","Hartlepool","0","0.00"
"Chinese","Havering","1","0.47"
"Chinese","Herefordshire","0","0.00"
"Chinese","Hertfordshire","4","0.41"
"Chinese","Hillingdon","0","0.00"
"Chinese","Hounslow","2","1.22"
"Chinese","Isle of Wight","0","0.00"
"Chinese","Isles Of Scilly","0","0.00"
"Chinese","Islington","0","0.00"
"Chinese","Kensington and Chelsea","0","0.00"
"Chinese","Kent","7","0.94"
"Chinese","Kingston upon Hull City of","0","0.00"
"Chinese","Kingston upon Thames","1","0.26"
"Chinese","Kirklees","0","0.00"
"Chinese","Knowsley","0","0.00"
"Chinese","Lambeth","0","0.00"
"Chinese","Lancashire","0","0.00"
"Chinese","Leeds","0","0.00"
"Chinese","Leicester","0","0.00"
"Chinese","Leicestershire","1","0.29"
"Chinese","Lewisham","1","0.17"
"Chinese","Lincolnshire","4","1.29"
"Chinese","Liverpool","5","0.52"
"Chinese","Luton","0","0.00"
"Chinese","Manchester","3","0.32"
"Chinese","Medway","1","0.69"
"Chinese","Merton","0","0.00"
"Chinese","Middlesbrough","0","0.00"
"Chinese","Milton Keynes","1","0.41"
"Chinese","Newcastle upon Tyne","0","0.00"
"Chinese","Newham","4","1.52"
"Chinese","Norfolk","3","0.68"
"Chinese","North East Lincolnshire","0","0.00"
"Chinese","North Lincolnshire","0","0.00"
"Chinese","North Somerset","1","1.32"
"Chinese","North Tyneside","0","0.00"
"Chinese","North Yorkshire","1","0.62"
"Chinese","Northamptonshire","3","0.82"
"Chinese","Northumberland","1","1.09"
"Chinese","Nottingham","1","0.47"
"Chinese","Nottinghamshire","4","0.88"
"Chinese","Oldham","0","0.00"
"Chinese","Oxfordshire","6","1.63"
"Chinese","Peterborough","0","0.00"
"Chinese","Plymouth","0","0.00"
"Chinese","Poole","0","0.00"
"Chinese","Portsmouth","0","0.00"
"Chinese","Reading","4","1.89"
"Chinese","Redbridge","0","0.00"
"Chinese","Redcar and Cleveland","0","0.00"
"Chinese","Richmond upon Thames","0","0.00"
"Chinese","Rochdale","1","0.98"
"Chinese","Rotherham","0","0.00"
"Chinese","Rutland","0","0.00"
"Chinese","Salford","0","0.00"
"Chinese","Sandwell","0","0.00"
"Chinese","Sefton","0","0.00"
"Chinese","Sheffield","0","0.00"
"Chinese","Shropshire","0","0.00"
"Chinese","Slough","0","0.00"
"Chinese","Solihull","1","0.52"
"Chinese","Somerset","1","0.81"
"Chinese","South Gloucestershire","1","0.66"
"Chinese","South Tyneside","0","0.00"
"Chinese","Southampton","1","0.56"
"Chinese","Southend-on-Sea","5","2.34"
"Chinese","Southwark","0","0.00"
"Chinese","St. Helens","0","0.00"
"Chinese","Staffordshire","4","1.17"
"Chinese","Stockport","4","1.82"
"Chinese","Stockton-on-Tees","1","0.99"
"Chinese","Stoke-on-Trent","6","3.35"
"Chinese","Suffolk","2","2.13"
"Chinese","Sunderland","1","0.77"
"Chinese","Surrey","1","0.14"
"Chinese","Sutton","3","0.47"
"Chinese","Swindon","0","0.00"
"Chinese","Tameside","1","0.71"
"Chinese","Telford and Wrekin","1","0.81"
"Chinese","Thurrock","0","0.00"
"Chinese","Torbay","0","0.00"
"Chinese","Tower Hamlets","1","0.38"
"Chinese","Trafford","2","0.28"
"Chinese","Wakefield","8","4.60"
"Chinese","Walsall","2","1.14"
"Chinese","Waltham Forest","0","0.00"
"Chinese","Wandsworth","0","0.00"
"Chinese","Warrington","1","0.74"
"Chinese","Warwickshire","0","0.00"
"Chinese","West Berkshire","2","2.41"
"Chinese","West Sussex","2","0.67"
"Chinese","Westminster","6","1.90"
"Chinese","Wigan","0","0.00"
"Chinese","Wiltshire","2","1.15"
"Chinese","Windsor and Maidenhead","0","0.00"
"Chinese","Wirral","2","0.79"
"Chinese","Wokingham","0","0.00"
"Chinese","Wolverhampton","1","0.60"
"Chinese","Worcestershire","1","0.67"
"Chinese","York","0","0.00"
"Mixed","Barking and Dagenham","114","3.26"
"Mixed","Barnet","235","3.89"
"Mixed","Barnsley","50","6.58"
"Mixed","Bath and North East Somerset","135","10.07"
"Mixed","Bedford","173","6.22"
"Mixed","Bexley","188","5.91"
"Mixed","Birmingham","1,258","7.44"
"Mixed","Blackburn with Darwen","27","3.02"
"Mixed","Blackpool","65","10.82"
"Mixed","Bolton","129","6.38"
"Mixed","Bournemouth","145","9.31"
"Mixed","Bracknell Forest","61","6.03"
"Mixed","Bradford","299","5.60"
"Mixed","Brent","185","5.37"
"Mixed","Brighton and Hove","173","5.50"
"Mixed","Bristol City of","566","11.17"
"Mixed","Bromley","197","3.62"
"Mixed","Buckinghamshire","317","5.23"
"Mixed","Bury","168","12.46"
"Mixed","Calderdale","68","4.71"
"Mixed","Cambridgeshire","259","5.81"
"Mixed","Camden","192","7.01"
"Mixed","Central Bedfordshire","184","7.15"
"Mixed","Cheshire East","64","3.50"
"Mixed","Cheshire West and Chester","35","2.79"
"Mixed","City of London","6","14.29"
"Mixed","Cornwall","80","4.94"
"Mixed","Coventry","311","8.34"
"Mixed","Croydon","454","5.21"
"Mixed","Cumbria","48","4.55"
"Mixed","Darlington","24","6.22"
"Mixed","Derby","243","7.82"
"Mixed","Derbyshire","120","4.13"
"Mixed","Devon","104","4.69"
"Mixed","Doncaster","325","23.45"
"Mixed","Dorset","131","8.19"
