"Ethnicity","Local Authority","Number","%"
"Black","Isles Of Scilly","0","0.00"
"Black","Islington","5","0.09"
"Black","Kensington and Chelsea","6","0.26"
"Black","Kent","1","0.02"
"Black","Kingston upon Hull City of","0","0.00"
"Black","Kingston upon Thames","1","0.12"
"Black","Kirklees","2","0.15"
"Black","Knowsley","0","0.00"
"Black","Lambeth","24","0.16"
"Black","Lancashire","0","0.00"
"Black","Leeds","1","0.01"
"Black","Leicester","2","0.04"
"Black","Leicestershire","0","0.00"
"Black","Lewisham","26","0.18"
"Black","Lincolnshire","0","0.00"
"Black","Liverpool","6","0.19"
"Black","Luton","10","0.25"
"Black","Manchester","20","0.14"
"Black","Medway","3","0.11"
"Black","Merton","3","0.07"
"Black","Middlesbrough","0","0.00"
"Black","Milton Keynes","1","0.02"
"Black","Newcastle upon Tyne","0","0.00"
"Black","Newham","16","0.12"
"Black","Norfolk","1","0.09"
"Black","North East Lincolnshire","0","0.00"
"Black","North Lincolnshire","0","0.00"
"Black","North Somerset","0","0.00"
"Black","North Tyneside","0","0.00"
"Black","North Yorkshire","0","0.00"
"Black","Northamptonshire","4","0.07"
"Black","Northumberland","0","0.00"
"Black","Nottingham","3","0.06"
"Black","Nottinghamshire","0","0.00"
"Black","Oldham","0","0.00"
"Black","Oxfordshire","2","0.08"
"Black","Peterborough","1","0.08"
"Black","Plymouth","0","0.00"
"Black","Poole","0","0.00"
"Black","Portsmouth","1","0.12"
"Black","Reading","2","0.10"
"Black","Redbridge","7","0.11"
"Black","Redcar and Cleveland","0","0.00"
"Black","Richmond upon Thames","1","0.12"
"Black","Rochdale","2","0.14"
"Black","Rotherham","0","0.00"
"Black","Rutland","0","0.00"
"Black","Salford","0","0.00"
"Black","Sandwell","15","0.27"
"Black","Sefton","0","0.00"
"Black","Sheffield","1","0.02"
"Black","Shropshire","0","0.00"
"Black","Slough","2","0.08"
"Black","Solihull","2","0.23"
"Black","Somerset","0","0.00"
"Black","South Gloucestershire","4","0.57"
"Black","South Tyneside","0","0.00"
"Black","Southampton","0","0.00"
"Black","Southend-on-Sea","2","0.12"
"Black","Southwark","27","0.15"
"Black","St. Helens","0","0.00"
"Black","Staffordshire","2","0.24"
"Black","Stockport","0","0.00"
"Black","Stockton-on-Tees","1","0.26"
"Black","Stoke-on-Trent","2","0.15"
"Black","Suffolk","2","0.22"
"Black","Sunderland","0","0.00"
"Black","Surrey","1","0.04"
"Black","Sutton","1","0.03"
"Black","Swindon","0","0.00"
"Black","Tameside","4","0.49"
"Black","Telford and Wrekin","1","0.11"
"Black","Thurrock","2","0.05"
"Black","Torbay","0","0.00"
"Black","Tower Hamlets","1","0.02"
"Black","Trafford","8","0.54"
"Black","Wakefield","2","0.29"
"Black","Walsall","4","0.17"
"Black","Waltham Forest","10","0.12"
"Black","Wandsworth","9","0.12"
"Black","Warrington","0","0.00"
"Black","Warwickshire","0","0.00"
"Black","West Berkshire","2","0.50"
"Black","West Sussex","8","0.48"
"Black","Westminster","8","0.19"
"Black","Wigan","0","0.00"
"Black","Wiltshire","1","0.11"
"Black","Windsor and Maidenhead","0","0.00"
"Black","Wirral","0","0.00"
"Black","Wokingham","0","0.00"
"Black","Wolverhampton","17","0.37"
"Black","Worcestershire","0","0.00"
"Black","York","0","0.00"
"Chinese","Barking and Dagenham","0","0.00"
"Chinese","Barnet","0","0.00"
